City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather description
342,Invergordon,57.6886,-4.1675,33.82,86,75,9.22,GB,2021-11-28 05:45:53,light rain
343,Nelson Bay,-32.7167,152.15,66.25,72,97,14.56,AU,2021-11-28 05:45:53,moderate rain
344,Flinders,-34.5833,150.8552,63.68,69,82,11.03,AU,2021-11-28 05:45:53,broken clouds
345,Ponta Do Sol,32.6667,-17.1,65.03,74,48,6.49,PT,2021-11-28 05:45:54,scattered clouds
346,Cidreira,-30.1811,-50.2056,69.3,94,88,3.29,BR,2021-11-28 05:45:54,overcast clouds
347,Celestun,20.8667,-90.4,72.57,87,40,8.25,MX,2021-11-28 05:45:55,scattered clouds
348,Salinopolis,-0.6136,-47.3561,79.61,80,47,8.72,BR,2021-11-28 05:45:55,scattered clouds
349,Lanxi,29.2195,119.477,64.15,66,65,6.44,CN,2021-11-28 05:45:55,broken clouds
350,Kantang,7.4054,99.5156,77.09,100,40,3.44,TH,2021-11-28 05:45:56,scattered clouds
351,Bintulu,3.1667,113.0333,84.61,84,40,2.3,MY,2021-11-28 05:45:56,scattered clouds
352,Grand Gaube,-20.0064,57.6608,84.6,66,4,9.06,MU,2021-11-28 05:45:56,clear sky
353,Presidencia Roque Saenz Pena,-26.7852,-60.4388,67.44,92,100,5.35,AR,2021-11-28 05:42:32,moderate rain
354,Cotonou,6.3654,2.4183,78.78,94,20,2.3,BJ,2021-11-28 05:45:57,few clouds
355,Poltavka,54.3663,71.7632,17.38,90,85,10.02,RU,2021-11-28 05:45:57,overcast clouds
356,Salalah,17.0151,54.0924,82.49,30,0,4.61,OM,2021-11-28 05:45:57,clear sky
357,Salta,-24.7859,-65.4117,71.89,77,0,2.3,AR,2021-11-28 05:45:58,clear sky
358,Ilulissat,69.2167,-51.1,24.82,58,100,16.11,GL,2021-11-28 05:45:59,overcast clouds
359,Port Elizabeth,-33.918,25.5701,75.49,50,0,10.36,ZA,2021-11-28 05:45:59,clear sky
360,Mangrol,21.1167,70.1167,83.01,46,97,5.5,IN,2021-11-28 05:45:59,overcast clouds
361,Yulara,-25.2406,130.9889,85.84,14,0,11.5,AU,2021-11-28 05:46:00,clear sky
362,Moussoro,13.6408,16.4901,72.3,17,21,11.32,TD,2021-11-28 05:46:00,few clouds
363,Shingu,33.7333,135.9833,58.19,51,0,5.03,JP,2021-11-28 05:46:01,clear sky
364,Dzaoudzi,-12.7887,45.2699,82.29,74,75,12.66,YT,2021-11-28 05:46:01,light rain
365,Kholtoson,50.2981,103.3097,16.65,67,15,6.15,RU,2021-11-28 05:47:02,few clouds
366,Luanda,-8.8368,13.2343,75.2,94,75,8.05,AO,2021-11-28 05:47:02,broken clouds
367,Oyo,7.85,3.9333,73.24,93,100,3.0,NG,2021-11-28 05:47:02,overcast clouds
368,Alice Springs,-23.7,133.8833,81.95,21,0,5.75,AU,2021-11-28 05:43:47,clear sky
369,Roma,43.2128,-75.4557,31.86,86,90,0.0,US,2021-11-28 05:47:03,overcast clouds
370,Lavrentiya,65.5833,-171.0,-10.98,94,6,7.27,RU,2021-11-28 05:47:03,clear sky
371,La Mira,18.035,-102.3266,72.3,82,10,3.8,MX,2021-11-28 05:47:04,clear sky
372,Lucea,18.451,-78.1736,76.86,68,2,9.19,JM,2021-11-28 05:47:04,clear sky
373,Lubango,-14.9172,13.4925,67.42,32,100,1.57,AO,2021-11-28 05:47:04,overcast clouds
374,Dandong,40.1292,124.3947,42.49,64,99,7.47,CN,2021-11-28 05:47:05,overcast clouds
375,Mugur-Aksy,50.35,90.5,15.85,76,85,6.38,RU,2021-11-28 05:47:05,overcast clouds
