,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather description,Hotel Name
237,237,Srivardhan,18.0333,73.0167,85.57,41,69,4.43,IN,2021-11-28 05:43:18,broken clouds,Savli Resort/Hotel - Shrivardhan
239,239,Manta,-0.95,-80.7333,73.18,88,90,6.91,EC,2021-11-28 05:43:18,overcast clouds,Balandra Hotel
248,248,Kandrian,-6.2167,149.55,85.68,65,79,8.88,PG,2021-11-28 05:43:22,broken clouds,Kandrian Station
251,251,Fare,-16.7,-151.0167,80.91,75,29,14.79,PF,2021-11-28 05:43:23,scattered clouds,Maitai Lapita Village Huahine
256,256,Khash,28.2211,61.2158,62.47,25,0,2.55,IR,2021-11-28 05:43:24,clear sky,دفتر پیشخوان دولت جمال زهی (خالد)
257,257,Pimentel,-6.8367,-79.9342,65.12,87,99,10.25,PE,2021-11-28 05:43:25,overcast clouds,Casona Del Muelle
260,260,Los Llanos De Aridane,28.6585,-17.9182,60.55,72,75,9.22,ES,2021-11-28 05:43:26,broken clouds,Valle Aridane
261,261,Portland,45.5234,-122.6762,64.38,79,90,12.66,US,2021-11-28 05:41:17,overcast clouds,Embassy Suites by Hilton Portland Downtown
267,267,Umm Lajj,25.0213,37.2685,82.06,43,6,0.83,SA,2021-11-28 05:43:28,clear sky,Moon light Furnished Units
273,273,Avarua,-21.2078,-159.775,75.25,83,75,3.44,CK,2021-11-28 05:41:03,broken clouds,Paradise Inn
274,274,Banepa,27.6298,85.5214,61.12,67,20,2.3,NP,2021-11-28 05:44:30,haze,Dhulikhel Lodge Resort
277,277,Acoua,-12.7239,45.0582,82.31,78,44,5.19,YT,2021-11-28 05:44:31,moderate rain,Gîte de Mliha
278,278,Ambilobe,-13.2,49.05,86.83,52,30,3.91,MG,2021-11-28 05:44:31,scattered clouds,Hôtel & Restaurant DIANA Ambilobe
281,281,Barra Dos Coqueiros,-10.9089,-37.0386,77.02,88,40,5.75,BR,2021-11-28 05:44:32,scattered clouds,Jangadeiro
282,282,Sechura,-5.5569,-80.8222,65.86,81,82,9.33,PE,2021-11-28 05:44:33,broken clouds,Hospedaje Costa Bella
284,284,Kaeo,-35.1,173.7833,66.25,71,91,5.21,NZ,2021-11-28 05:44:33,overcast clouds,Bushido Lodge
285,285,Rio De Jesus,7.9844,-81.1631,72.97,92,64,1.57,PA,2021-11-28 05:44:34,broken clouds,Parador fotografico Rio de Jesus
286,286,Amreli,21.6167,71.2333,84.65,29,75,10.89,IN,2021-11-28 05:44:34,broken clouds,Sanskar Hostel & PG Center
288,288,Ialibu,-6.2821,143.9935,68.63,94,90,2.06,PG,2021-11-28 05:44:35,overcast clouds,Eastwood Guesthouse
289,289,Isangel,-19.55,169.2667,82.51,78,75,9.22,VU,2021-11-28 05:44:35,broken clouds,Tanna Lodge
293,293,Victoria Point,-27.5833,153.3,79.02,73,95,17.76,AU,2021-11-28 05:44:37,overcast clouds,Bay Retreat Motel
294,294,Santiago Del Estero,-27.7951,-64.2615,70.27,79,92,23.51,AR,2021-11-28 05:44:37,overcast clouds,Apartamentos Castelli 90
298,298,Quatre Cocos,-20.2078,57.7625,84.31,59,3,9.37,MU,2021-11-28 05:44:38,clear sky,Sunrise Attitude Hotel
301,301,Sola,-13.8833,167.55,81.81,72,82,6.85,VU,2021-11-28 05:44:39,broken clouds,Leumerus Bungalows
302,302,Phangnga,8.4509,98.5298,82.44,68,82,7.92,TH,2021-11-28 05:44:40,broken clouds,Sunimit Mansion
310,310,Tumaco,1.7986,-78.8156,75.47,90,97,6.02,CO,2021-11-28 05:44:42,light rain,Dafneruben
311,311,Bubaque,11.2833,-15.8333,82.45,72,83,12.15,GW,2021-11-28 05:44:43,broken clouds,"Casa Dora, Bubaque"
313,313,Finschhafen,-6.6024,147.8681,85.5,68,85,7.09,PG,2021-11-28 05:44:43,overcast clouds,Cossam Guest House
314,314,Puerto Asis,0.5133,-76.5007,70.97,96,87,0.98,CO,2021-11-28 05:44:44,overcast clouds,Ayawaska Hostal
315,315,Chimore,-16.9833,-65.1333,72.41,99,69,0.63,BO,2021-11-28 05:44:44,broken clouds,Bichito
321,321,Lumphat,13.4878,106.9816,81.01,72,99,4.23,KH,2021-11-28 05:45:46,overcast clouds,Lumphat Homestay
